ok;score;nombre;justificacion;marca;categoria;cuota;prom_categoria;desvio;ingredientes;toxicidad;red_flags;nutri_negativo;nutri_positivo;ultraprocesado;pobreza;amortiguacion;excesos;beneficiosos;alertas;id
;20;Refresco Gatorade Cool Blue 500 Ml;"Jarabe de maíz de alta fructosa, azúcar, sello de exceso y colorante azul brillante. Ultraprocesado y sin ningún nutriente que acreditar. El aporte de electrolitos no compensa en una escala que mide qué tan saludable es el producto.";Gatorade;Energizantes;trampa;19;1;17.8;9.2;3.1;15.0;0.0;20.0;15.0;0.0;Azúcares 6g;;;38fa6092-5c90-4213-bf91-0b3cfaa3a4f6
;20;Refresco Gatorade Naranja 1.25 L;"Misma fórmula que las otras isotónicas: jarabe de maíz de alta fructosa arriba, azúcar después y amarillo ocaso como colorante. Sello de exceso de azúcares, ultraprocesado y ningún nutriente acreditable.";Gatorade;Energizantes;trampa;19;1;17.7;9.2;3.1;15.0;0.0;20.0;15.0;0.0;Azúcares 6g;;;ff3c9a95-7d79-42b0-a5cc-825250ce11ee
;49;Yogurísimo Licuado Mango Coco Y Sésamo 250 Ml;"Aporta 100 mg de calcio por 100 g y algo de proteína, y casi no tiene descuento nutricional. Pero el preparado de frutas trae jarabe de maíz de alta fructosa, almidón modificado, colorantes y conservantes dentro del mismo ingrediente, y está clasificado como ultraprocesado.";Yogurísimo;Leches y Yogures;trampa;59;10;20.4;7.1;2.8;0.2;4.6;20.0;5.0;0.0;;Calcio 99.6mg | Proteínas 2.84g;PENALIZA_SIN_EXCESO_VISIBLE;8e43699a-1426-4e6d-8e19-d380a690c75f
;39;Sopa Crema De Verduras Light Monte Cudine 37 G;"Tiene espinaca, cebolla y choclo reales entre sus ingredientes, todos con buen puntaje. Pero son veintitrés ingredientes en total, con proteína vegetal hidrolizada y extracto de levadura, 65 g de carbohidratos por 100 g y clasificación de ultraprocesado.";Monte Cudine;Sopa y Puré;trampa;43;4;12.7;6.7;2.7;12.0;3.2;20.0;10.0;0.0;Sodio 5768mg;Proteínas 8.8g;;030c3735-6cff-43ba-95dc-244d9e226e46
;100;Agua Mineral Nativa Sin Gas Full Sport 1 L;"Agua mineral pura, un solo ingrediente, sin nada agregado. El envase deportivo no cambia el contenido: sigue siendo el 100 de la escala.";Nativa;Aguas;ancla_buena;83;17;-3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR;46d8629d-46a7-41b0-9af7-b5684ba563c5
;97;AGUA MINERAL MATUTINA CON GAS BOTELLA 2.25 LITROS;"Agua mineral con bicarbonato de sodio y dióxido de carbono, este último el único ingrediente que descuenta algo. Sin azúcares ni calorías. Los tres puntos que la separan de la versión sin gas son exactamente la carbonatación.";MATUTINA;Aguas;ancla_buena;83;14;2.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR;d51ba8bf-ab4d-4f61-827e-51e90e54e014
;84;Fideos Trigo Duro Barilla Angel Hair N°1 500 G;"Dos ingredientes: sémola de trigo duro y agua. Sin aditivos, sin azúcar y con 11,4 g de proteína y 3 g de fibra por 100 g. Los carbohidratos son altos, propios de una pasta seca, pero no hay nada más que penalizar.";Barilla;Pastas;ancla_buena;69;16;6.2;4.1;1.0;0.0;0.3;0.0;5.0;0.0;;Fibra alimentaria 3g | Proteínas 11.37g;;21181954-21cc-4ca4-8f1a-1b4a976ff86e
;84;Fideos Espinaca Adria Vermicelli 500 G;"Espinaca deshidratada y espinaca fresca entre los ingredientes, ambas con puntaje casi perfecto, y 15 g de proteína por 100 g. Sin aditivos ni conservantes. La harina fortificada es lo único que descuenta algo.";Adria;Pastas;ancla_buena;69;16;5.9;3.9;1.3;0.0;0.3;0.0;5.0;0.0;;Fibra alimentaria 2.25g | Proteínas 15g;;31207c62-6c0b-48a5-baf9-df5c0ffa3650
;84;Fideos Trigo Duro Barilla Spaghettoni 500 G;"Sémola de trigo duro y agua, nada más. Mismo perfil que el resto de las pastas secas de trigo duro: buena proteína, algo de fibra, sin aditivos y sin clasificación de ultraprocesado.";Barilla;Pastas;ancla_buena;69;16;6.2;4.1;1.0;0.0;0.3;0.0;5.0;0.0;;Fibra alimentaria 3g | Proteínas 11.37g;;e1609953-8672-494f-8bee-0c9939a279de
;82;Fideos Espinaca Adria Nido 500 Gr;"Harina fortificada con espinaca y ajo deshidratados, sin aditivos. Aporta 15 g de proteína por 100 g. Queda dos puntos por debajo de la versión vermicelli porque esta no incluye espinaca fresca en la lista.";Adria;Pastas;ancla_buena;69;14;7.9;4.4;1.5;0.0;1.0;0.0;5.0;0.0;;Fibra alimentaria 2.25g | Proteínas 15g;;07884b34-18bd-4050-b5ed-898eeab066b9
;76;Cous Cous Barilla 500 G;"Un único ingrediente, sémola de trigo duro, con 12 g de proteína y 3 g de fibra por 100 g. Sin aditivos ni azúcar. Los 71 g de carbohidratos por 100 g son lo que impide que suba más.";Barilla;Legumbres secas;ancla_buena;91;15;15.0;5.6;1.0;0.0;3.0;0.0;5.0;0.0;;Fibra alimentaria 3g | Proteínas 12g;;4a59c20c-c87e-44c0-bff3-d2c5a66f25b9
;75;Tomate Pelado Perita Arcor Lata 400 G;"Tomate pelado y jugo de tomate, ambos con puntaje casi perfecto, y solo ácido cítrico como aditivo. No descuenta nada por nutrición. Lo que lo frena es que la etiqueta declara apenas 0,6 g de fibra y 0,7 g de proteína por 100 g, por debajo del mínimo para acreditarlos: un tomate en lata es sobre todo agua.";Arcor;Salsas;ancla_buena;62;13;6.5;2.7;0.5;0.0;0.0;0.0;15.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR POBREZA_DISCUTIBLE;8bada35f-2a9e-4cfe-ac12-381ab8ce3b28
;81;Yerba Mate Armiño 1 Kg;"Ingrediente único y sin aditivos. Declara mucho menos que otras yerbas del catálogo, así que solo alcanza a acreditar la proteína, y eso le cuesta puntos por bajo aporte nutricional declarado.";Armiño;Yerbas;ancla_buena;92;11;2.2;5.6;1.0;0.0;0.0;0.0;10.0;0.0;;Proteínas 3g;POBREZA_DISCUTIBLE;d491b2f6-f764-40c9-8d7c-02b81991d2d2
;97;Yerba Mate Compuesta Serena Canaria 1 Kg;"Yerba mate con toronjil, mburucuyá, menta y tilo, todas hierbas con puntaje perfecto y sin un solo aditivo. Los valores de la etiqueta son los de la hoja seca, con mucha fibra y calcio, lo que la deja muy arriba.";Canarias;Yerbas;ancla_buena;92;5;-1.1;3.2;1.0;0.0;0.0;0.0;0.0;0.0;;Calcio 850mg | Fibra alimentaria 50g | Proteínas 8g;;f1a3765a-c835-449e-a9aa-92065ea0906c
;78;Fideos Foratti Al Huevo Adria 500 G;"Harina fortificada y huevo, que suma como ingrediente de puntaje perfecto, con 12,5 g de proteína por 100 g. El betacaroteno sintético usado como colorante es lo único que descuenta más allá de los carbohidratos.";Adria;Pastas;ancla_buena;69;10;13.5;4.4;1.5;0.0;2.1;0.0;5.0;0.0;;Fibra alimentaria 1.75g | Proteínas 12.5g;;35b56109-f370-40f2-b591-ac894e76c008
;76;Lasagna Facil Las Acacias 200 G;"Sémola de trigo duro como único ingrediente, sin aditivos ni conservantes. Aporta proteína y algo de fibra. Como toda pasta seca, los carbohidratos altos son lo único que la mantiene lejos del máximo.";Las Acacias;Pastas;ancla_buena;69;8;15.0;5.6;1.0;0.0;2.8;0.0;5.0;0.0;;Fibra alimentaria 2.5g | Proteínas 11.75g;;860d3c85-9863-4cc0-a2b9-05f6ace7245c
;93;Yerba Mate Canarias Té Rojo Y Centella 1 Kg;"Mezcla de yerba mate con té rojo y otras hierbas, todas de puntaje alto y sin ningún aditivo agregado. Los valores declarados de la hoja seca aportan fibra, calcio y proteína por encima del umbral.";Canarias;Yerbas;ancla_buena;92;1;2.2;3.8;1.4;0.0;0.0;0.0;0.0;0.0;;Calcio 787mg | Fibra alimentaria 50g | Proteínas 12g;;f48e843c-d4f2-4414-99e5-3fe81aff79b0
;91;Yerba Mate Canarias Edición Especial 1 Kg;"Yerba mate sola, sin agregados. Acredita fibra, calcio y proteína según los valores de la hoja seca. Está algo por debajo de la compuesta porque no suma el puntaje de las hierbas adicionales.";Canarias;Yerbas;ancla_buena;92;1;2.2;5.6;1.0;0.0;0.0;0.0;0.0;0.0;;Calcio 810mg | Fibra alimentaria 50g | Proteínas 8g;;7fdc351b-fe85-4e40-ba45-d9315fcffddb
;13;Queso Para Untar Conapole Cheddar 230 G;"Pierde 34 puntos por la tabla nutricional, sobre todo grasas saturadas y sodio, más 20 por ultraprocesado. Tiene almidón modificado, aromatizante sabor cheddar, colorantes y tres fosfatos distintos. Del queso queda poco más que el nombre.";Conaprole;Quesos;ancla_mala;32;19;17.7;7.4;3.2;34.0;3.4;20.0;10.0;1.9;Grasas saturadas 13g | Grasas trans 1g | Sodio 790mg;Proteínas 9.67g;;eb534176-6061-4f81-b57b-ded1400a2dee
;20;Postre Helado Crufi Suspiro De Menta 854 G;"Sello de exceso de azúcares, 24 puntos de descuento nutricional y ultraprocesado. La salsa de chocolate y el bizcochuelo traen jarabe de maíz de alta fructosa y emulsionantes dentro de su propia lista de ingredientes.";Crufi;Postres;ancla_mala;39;19;18.2;11.0;3.2;23.9;1.5;20.0;5.0;0.0;Azúcares -1;Fibra alimentaria 2g | Proteínas 3.17g;;89471470-2e81-4b6f-b561-b9b040f5584c
;6;Galletas Rellenas Lu Lu Chantilly 115 G;"De lo más castigado del catálogo. Tiene aceite vegetal hidrogenado, el peor ingrediente posible en la tabla, más jarabe de maíz de alta fructosa y glucosa. Con 480 kcal y 70 g de carbohidratos por 100 g, ultraprocesada, la suma de penalizaciones supera el máximo teórico.";Lu Lu;Galletitas Dulces;ancla_mala;21;15;26.3;10.5;4.4;37.0;2.1;20.0;10.0;12.3;Azúcares 30.67g | Grasas saturadas 8.67g | Grasas trans 1g;Proteínas 5.67g;MUY_AMORTIGUADO;4da2e22c-174c-49cd-8b2b-7dae45a94bda
;6;Galletas Rellenas Lu Lu Frutilla 115 G;"Idéntica a la versión chantilly: aceite vegetal hidrogenado, jarabe de maíz de alta fructosa, 480 kcal por 100 g y 73 g de carbohidratos. Ultraprocesada y sin ningún nutriente que acreditar más allá de algo de proteína del trigo.";Lu Lu;Galletitas Dulces;ancla_mala;21;15;26.3;10.6;4.4;37.0;2.0;20.0;10.0;12.5;Azúcares 31.67g | Grasas saturadas 8.33g | Grasas trans 1g;Proteínas 5.33g;MUY_AMORTIGUADO;c43f0079-7dd2-4c66-8eed-03228542f096
;18;Aderezo Mayonesa Mayoliva 237 G;"Tiene aceite de oliva extra virgen y huevo entre los ingredientes, pero también veintiún ingredientes en total y 467 kcal por 100 g. Pierde 25 puntos por la tabla nutricional, 20 por ultraprocesado y otros 15 por no acreditar ningún nutriente beneficioso.";Mayoliva;Aderezos;ancla_mala;33;15;10.3;9.8;2.1;24.8;0.0;20.0;15.0;0.1;Sodio 758.33mg;;;cb894830-5e8a-4f95-accb-33e2dd8b3554
;8;Caldo Maggi Gallina 6U;"Lleva butilhidroxianisol y butilhidroxitolueno, dos antioxidantes sintéticos con la toxicidad más alta de la tabla, más glutamato monosódico y aceite de palma. Con la sal como primer ingrediente, el descuento por sodio es máximo. Es de los puntajes más bajos del catálogo.";Maggi;Condimentos;ancla_mala;15;7;21.4;13.7;6.2;24.0;0.0;20.0;15.0;8.1;Grasas saturadas 14.74g | Sodio 18378.95mg;;MUY_AMORTIGUADO;cd41e3dd-6789-4986-89b6-933bbea9ac49
;16;Refresco Fanta Naranja Retornable 2 L - Incluye Envase;"Misma fórmula que la Fanta en botella grande: amaranto y amarillo ocaso como colorantes, benzoato de sodio, EDTA cálcico disódico y sello de exceso de azúcares. Los colorantes son lo que la separa del resto de los refrescos.";Fanta;Refrescos;ancla_mala;25;9;20.0;11.0;3.1;15.0;0.0;20.0;15.0;0.4;Azúcares 6g;;;46c0db12-4d07-4a0e-919b-a419188468a1
;19;Masa Para Empanadas Hojaldrada La Especialista 12 U;"Margarina como tercer ingrediente y 24 puntos de descuento por grasas y sodio, más los 20 del ultraprocesado. Los conservantes propionato de calcio y sorbato de potasio completan el cuadro. La masa comprada arranca muy por debajo de la casera.";La Especialista;Masas;ancla_mala;27;8;19.5;7.2;2.9;23.8;2.6;20.0;10.0;0.0;Grasas saturadas 6g;Proteínas 7g;;10a1cba1-eb5b-4aec-a9d4-014902eb09c5
;19;Masa Para Empanada Caseras La Especialista 20 U;"El nombre dice casera pero la lista incluye margarina, cloruro de potasio, propionato de calcio y sorbato de potasio. Pierde 24 puntos por la tabla nutricional y 20 por ultraprocesado, exactamente igual que la versión hojaldrada.";La Especialista;Masas;ancla_mala;27;8;19.9;7.3;3.0;23.8;2.6;20.0;10.0;0.0;Grasas saturadas 6g;Proteínas 7g;;0d7c51b6-c3b7-41d6-aec7-9dec432b61ab
;19;Masa Para Empanadas Casera La Especilista 12 Ud;"Idéntica en composición y puntaje a las otras masas de la marca: margarina, conservantes y clasificación de ultraprocesado. Aporta algo de proteína del trigo y poco más.";La Especialista;Masas;ancla_mala;27;8;19.9;7.3;3.0;23.8;2.6;20.0;10.0;0.0;Grasas saturadas 6g;Proteínas 7g;;6ac213c2-52b0-4ef4-a553-0a5313022a2f
;10;Caldo De Carne Monte Cudine 9G 10 U;"Sal como primer ingrediente y grasa vegetal hidrogenada como tercero, un ingrediente de toxicidad media-alta. Ultraprocesado, con proteína vegetal hidrolizada y extracto de levadura. El descuento por sodio es el máximo posible.";Monte Cudine;Condimentos;ancla_mala;15;5;22.1;10.0;3.9;24.0;0.0;20.0;15.0;4.8;Sodio 20220mg;;MUY_AMORTIGUADO;f016ed5a-883c-4f26-997a-c63df9b18590
;19;Salamin Schneck Al Vacio 190 Gr;"Pierde 24 puntos por la tabla nutricional, sobre todo grasas saturadas y sodio, con 430 kcal por 100 g, más 20 por ultraprocesado. Tiene buena proteína, pero los nitritos y la carga de sal son determinantes en un embutido curado.";Schneck;Embutidos;ancla_mala;27;8;15.1;11.9;3.9;24.0;3.9;20.0;10.0;0.0;Grasas saturadas 18g | Sodio 950mg;Proteínas 12g;;ef5b83fe-c236-4ac8-b646-a86d548ef3d7
;17;Caldo Maggi Carne 6U;"Sal como primer ingrediente, aceite de palma y una lista larga de aditivos. Descuento máximo por sodio, 20 puntos por ultraprocesado y otros 15 por no aportar ningún nutriente. Puntúa algo mejor que el de gallina porque no lleva los antioxidantes sintéticos más duros.";Maggi;Condimentos;ancla_mala;15;2;14.0;7.4;3.3;24.0;0.0;20.0;15.0;0.4;Grasas saturadas 14g | Sodio 17960mg;;;58130857-4774-4a69-9ae8-e2f8965def25
;17;Sazonador Jugoso Pollo Mediterraneo Maggi 25 G;"Arranca con una mezcla de vegetales deshidratados reales, pero incluye galato de propilo, un antioxidante sintético de toxicidad media-alta, y aceite de palma. Ultraprocesado y sin ningún nutriente acreditable pese al origen vegetal.";Maggi;Condimentos;ancla_mala;15;2;22.1;10.6;4.2;12.0;0.0;20.0;15.0;0.4;Sodio 9420mg;;;669ed96f-60ca-4743-b51b-00a92c672cf5
;27;Sopa Instantánea De Choclo Monte Cudine Sobre 15 G;"El primer ingrediente es almidón modificado y el segundo azúcar, antes que cualquier vegetal. Con dieciocho ingredientes, 69 g de carbohidratos por 100 g y clasificación de ultraprocesado, del choclo queda poco.";Monte Cudine;Sopa y Puré;medio;43;16;22.7;7.9;3.8;12.0;3.0;20.0;10.0;0.0;Sodio 4165.52mg;Proteínas 8.28g;;2209879e-a057-41e6-8180-cf664c122542
;67;Pan Rallado Saborizado Sin Sal Rallopan 450 G;"Solo tres ingredientes, orégano, ajo y harina fortificada, sin sal agregada, lo que evita todo descuento por sodio. Aporta proteína y fibra. Lo único que lo baja son los 20 puntos por la clasificación de ultraprocesado.";Rallopan;Panes;medio;51;16;2.8;3.9;1.2;0.0;0.0;20.0;5.0;0.0;;Fibra alimentaria 3.67g | Proteínas 10.67g;;b35a0344-ad5c-434b-888d-e7fd7dd20139
;51;Queso Casancrem Light Sin Sal Agregada 290 Gr;"Sin sal agregada, así que casi no descuenta por sodio, y aporta 8 g de proteína por 100 g. Pierde sobre todo por los 20 puntos del ultraprocesado, con almidón modificado, gelatina y tres gomas como estabilizantes.";Casancrem;Quesos;medio;32;20;12.0;6.6;2.5;5.8;2.9;20.0;5.0;0.0;;Grasas monoinsaturadas 1.67g | Proteínas 8g;PENALIZA_SIN_EXCESO_VISIBLE;0906b00e-605e-4d24-826d-3cb86b0b9bfa
;69;Agua Mineral Salus Con Gas Pack 4 U 2.25 L;"Un agua mineralizada, no un agua mineral natural: la etiqueta declara calcio, magnesio y dos cloruros agregados. Esos aditivos son los que la separan de las aguas que puntúan 100. Aporta magnesio, pero poco.";Salus;Aguas;medio;83;14;13.6;5.6;2.6;0.0;0.5;0.0;10.0;0.0;;Magnesio 8mg;POBREZA_DISCUTIBLE;9f53f41f-96aa-4dc7-82f6-538914929486
;56;Postre Viva Chocolate 2 U 110 G;"Aporta 94 mg de calcio por 100 g y algo de proteína, sin descuento nutricional. Los 20 puntos de ultraprocesado y los aditivos, almidón modificado, carragenina y sorbato de potasio, son lo que lo mantienen en el medio de la tabla.";Viva;Postres;medio;39;17;14.2;5.8;1.8;0.0;3.0;20.0;5.0;0.0;;Calcio 93.64mg | Proteínas 3.45g;;89add6c3-5f1e-4298-9c48-af584e908439
;73;Pulpa de Tomate Arcor Tetra 520 G;"Tomate y ácido cítrico, nada más. Ningún descuento por nutrición ni por procesamiento. Lo que lo frena es que no declara ningún nutriente por encima del mínimo, algo esperable en un producto que es casi todo agua.";Arcor;Salsas;medio;62;11;7.7;3.4;0.7;0.0;0.0;0.0;15.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR POBREZA_DISCUTIBLE;27ef0428-27b2-4602-92f2-952c7ba83db9
;50;Agua Saborizada H2Oh! Limoneto 1.5 L;"Sin azúcar agregado, y eso la deja bastante mejor que las saborizadas azucaradas. Aun así son quince ingredientes con acidulantes, aromatizantes y vitaminas agregadas, y está clasificada como ultraprocesada.";H2O;Aguas Saborizadas;medio;32;18;10.5;7.8;1.9;0.0;0.2;20.0;10.0;0.0;;Niacina 1.6mg;;d921524a-b2cd-45ef-87ea-0eafd43b62e8
;55;Pack Ser Postre Dulce De Leche 2 U;"Sin descuento nutricional y con cuatro nutrientes acreditados: calcio, fibra, proteína y zinc, gracias a la inulina y la fortificación. Los 20 puntos del ultraprocesado son prácticamente lo único que lo baja.";Ser;Postres;medio;39;16;19.4;8.9;2.9;0.0;6.3;20.0;0.0;0.0;;Calcio 136.84mg | Fibra alimentaria 2.32g | Proteínas 3.68g | Zinc 1.47mg;;1d15a428-1f98-4b44-a0d8-27b3bf73ff0f
;72;Tomates Perita Enteros Pelados Las Acacias 400 G;"Tomate y jugo de tomate con ácido cítrico como único aditivo. Sin descuento nutricional ni de procesamiento. Como el resto de los tomates en lata, no llega más arriba porque sus valores declarados quedan por debajo del mínimo acreditable.";Las Acacias;Salsas;medio;62;10;8.9;3.1;0.7;0.0;0.0;0.0;15.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR POBREZA_DISCUTIBLE;6445a02f-2ef9-43d1-b681-56b951364e69
;40;Jamón Cocido Del Campo a la Mesa 200 G;"Carne porcina con buen puntaje y 12 g de proteína por 100 g, con solo 103 kcal. Pierde por la clasificación de ultraprocesado y por los aditivos de curado: difosfato de sodio, carragenina y nitritos.";Del Campo A La Mesa;Embutidos;medio;27;13;8.0;10.7;2.9;12.0;3.9;20.0;10.0;0.0;Sodio 1100mg;Proteínas 12.06g;;8254023a-2dd0-4731-8c2d-de9541c617ef
;39;Salame Del Campo a la Mesa 200 G;"Solo cuatro ingredientes, pero uno es nitrito de sodio, con la toxicidad más alta de la tabla. Descuenta 24 puntos por grasas saturadas y sodio. A favor tiene 22 g de proteína por 100 g y no estar clasificado como ultraprocesado.";Del Campo A La Mesa;Embutidos;medio;27;12;14.6;12.8;4.0;24.0;4.7;0.0;10.0;0.0;Grasas saturadas 7.57g | Sodio 1418.92mg;Proteínas 21.89g;;f227b8e1-09ea-4c55-a5df-7dd33db52265
;21;Masa Para Empanada Avanti Casera 20 U;"Margarina como tercer ingrediente, más gluten de trigo, propionato de calcio y ácido sórbico. Pierde 23 puntos por la tabla nutricional y 20 por ultraprocesado, en línea con el resto de las masas industriales.";Avanti;Masas;medio;27;6;18.1;7.3;3.1;23.0;2.4;20.0;10.0;0.0;;Proteínas 6.33g;PENALIZA_SIN_EXCESO_VISIBLE;782d3c6e-bb86-4ecb-ae87-8f1a8e6dab40
;13;Crema Vegetal Soya Pote 500 G;"Agua y aceite vegetal como base, con emulsionantes, benzoato de sodio y aromatizante sin especificar. Descuenta 24 puntos por grasas, 20 por ultraprocesado y otros 15 por no aportar ningún nutriente acreditable.";Soya;Mantecas y Grasas;relleno;34;21;17.2;10.4;2.6;24.0;0.0;20.0;15.0;2.0;Grasas saturadas 7g | Sodio 1030mg;;;f9e692b0-aa34-4766-94d0-d6daec1c597c
;37;CEREAL MIX LIGHT MANZANA & AVENA;"Aporta 11,7 g de fibra por 100 g, un valor alto de verdad, y tiene manzana deshidratada, arroz y avena reales. Pero el primer ingrediente es jarabe de maltitol y lleva sorbitol, y está clasificado como ultraprocesado. El rótulo light es sobre el azúcar, no sobre el procesamiento.";Arcor;Snacks saludables;relleno;37;0;18.0;9.7;2.0;18.0;4.8;20.0;0.0;0.0;Azúcares 18.26g | Polialcoholes 31.74g;Fibra alimentaria 11.74g | Grasas monoinsaturadas 1.3g | Proteínas 2.61g;;9e12e3b1-364f-4833-984b-850d33dcad39
